Name,GDP251,GDP252,GDP253,GDP254,GDP255,GDP256,GDP257,GDP258,GDP259,GDP260,GDP261,GDP263,GDP264,GDP265,GDP266,GDP267,IPS10,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS306,PMP,UTL11,CES002,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,LHEL,LHELX,LHEM,LHNAG,LBMNU,CES151,CES155,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,HSFR,HSBR,HSNE,HSMW,HSSOU,HSWST,PMI,PMNO,PMDEL,PMNV,MOCMQ,MSONDQ,GDP272A,GDP273A,CPIAUCSL,PCEPILFE,CPILFESL,GDP274A,GDP274_1,GDP274_2,GDP274_3,GDP275A,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276A,GDP276_1,GDP276_2,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP277A,GDP278A,GDP279A,GDP280A,GDP281A,GDP282A,GDP284A,GDP285A,GDP286A,GDP287A,GDP288A,PSCCOMR,PW561R,PMCP,CES275R,CES277R,CES278 R,LBOUT,LBPUR7,LBLCPU,FYFF,FYGM3,FYGM6,FYGT1,FYGT5,FYGT10,FYAAAC,FYBAAC,SFYGM6,SFYGT1,SFYGT10,SFYAAAC,SFYBAAC,FM1,MZMSL,FM2,FMFBA,FMRRA,BUSLOANS,CCINRV,EXRUS,EXRSW,EXRJAN,EXRUK,EXRCAN,FSPCOM,FSPIN,FSDXP,FSPXE,FSDJ,HHSNTN
Code,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,1,2,2,2,5,5,5,5,5,4,4,4,4,4,4,1,1,1,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,1,5,5,5,5,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,6,6,6,6,6,5,5,5,5,5,5,5,2,2,5,2
Outlier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CatCode,1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.14,1.15,2,2.01,2.02,2.03,2.04,2.05,2.06,2.07,2.08,2.09,2.1,2.12,2.13,2.14,3,3.001,3.011,3.021,3.031,3.041,3.051,3.061,3.071,3.081,3.091,3.101,3.111,3.2,3.21,3.22,3.23,3.3,3.5,3.51,4,4.01,4.02,4.03,4.04,4.05,4.06,5,5.001,5.01,5.02,5.03,5.04,6,6.01,6.02,6.03,6.04,6.05,7,7.1,7.15,7.16,7.17,7.2,7.21,7.22,7.23,7.24,7.25,7.26,7.27,7.28,7.29,7.3,7.31,7.32,7.33,7.34,7.35,7.36,7.37,7.38,7.39,7.4,7.41,7.42,7.43,7.44,7.47,7.5,7.51,7.52,7.72,7.74,7.75,8.2,8.21,8.22,8.3,8.31,8.32,9,9.01,9.02,9.03,9.04,9.05,9.06,9.07,9.08,9.09,9.1,9.11,9.12,10,10.01,10.02,10.03,10.04,10.06,10.07,11,11.01,11.02,11.03,11.04,12,12.01,12.02,12.03,12.04,13
IncludeCode,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tab 4 Code,1,2,2,2,2,5,5,5,5,5,4,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70.733333,81.372333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39.833333,.,.,.,.,.,.,.,.,7.4073177,7.3419158,5.8348107,6.0973249,6.2252183,5.8749307,66.133333,69.9,65.133333,53.133333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64.866667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.34333333,0.73,1.2166667,0.14,0.88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1959.25,10.383041,6.7272641,15.259083,3.4506293,7.7175325,32.445325,12.770459,12.050134,12.127391,12.017782,13.942641,13.114035,20.150673,6.0700666,9.4678627,1.096094,18.943215,12.269487,11.782848,7.8701244,14.794871,5.6668911,26.645418,27.71319,36.07896,20.442847,18.820135,-2.1265548,70.766667,84.5589,6.7512901,9.4307196,1.6747055,12.532518,9.185789,13.366682,3.2162679,3.9594765,4.3930264,4.4952903,3.8060216,3.9430768,1.3937011,4.6666667,0.181,5.1733923,3.8324762,7.5791047,40.2,0.26666667,-0.73333333,-0.86666667,-8.1042191,-66.397298,-107.62268,-127.65121,-93.160776,7.3332409,7.3225104,5.572154,5.8944028,6.2415745,5.9678547,66.5,67,63.833333,64.266667,3.1700176,29.194542,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.9392182,-0.62409574,66.066667,5.2143551,3.8831769,4.8246981,2.5704715,3.3513526,-1.411303,0.51333333,0.22666667,0.25666667,0.41333333,0.33666667,0.26666667,0.22333333,0.083333333,0.37333333,0.91666667,1.2566667,0.096666667,0.69666667,.,.,.,.,.,.,.,-1.103554,0.26249658,0,0.71549974,-3.601701,14.11106,16.215153,-0.036666667,0.043333333,18.997782,1.4
1959.50,-0.303921,4.4743389,8.0971498,2.2085982,5.8970071,-29.122468,4.8512864,12.460689,11.695661,12.892732,-7.6297867,12.422316,4.3182238,4.9905459,8.1537146,0.35484589,-16.705036,0.94038112,5.3715496,4.4287149,0.99956798,5.2797938,7.8652098,-43.798227,-73.693047,1.4724941,-16.258487,-8.4632367,57.7,80.498767,-0.393996,-3.3109167,-16.366355,-2.1194967,-3.0009329,-7.0722836,2.8141031,1.9476511,1.8334453,5.1530259,3.0700526,2.9320072,2.5290207,2.3333333,0.016666667,0.63557211,2.8229501,-1.176856,39.933333,-0.066666667,0.16666667,-0.93333333,26.2601,67.446708,-41.739962,12.018769,-83.65263,7.316991,7.2742485,5.5120838,5.888878,6.258306,5.9260367,54.966667,53.133333,58,51.733333,-20.312471,6.0457111,0.53870694,1.0737788,1.3713424,0.81647656,-0.45303537,-1.7002835,-3.3424932,-0.80271925,0.99839438,1.2801222,2.2277653,0.57325596,-3.4314712,1.8144963,1.8067219,-1.1125541,4.2062166,2.9847032,4.8866286,-1.0523554,-0.27909004,1.1673328,7.1370767,-0.4393084,-0.44341793,-0.46670418,-0.81416305,-0.29452602,-0.38491612,2.9137878,0.67567772,-0.88844125,-1.0886985,-0.55317583,-6.9730005,-4.3841217,61.033333,-1.446644,4.8559577,-2.7018695,2.4047585,0.62325826,2.7141875,0.49333333,0.54,0.75666667,0.68666667,0.36,0.24666667,0.12,0.16333333,0.59,1.0633333,0.96333333,-0.03,0.61333333,-0.59400506,-0.21980965,-0.53671763,0.69923537,5.231735,3.4629545,2.833866,1.4707297,-0.24087271,0.096327514,-0.88923346,-3.0613104,8.4199146,9.4565029,-0.063333333,-1.0833333,16.585363,-0.53333333
1959.75,1.4056961,0.56651154,-20.860243,2.7171035,5.1906956,13.177045,-5.3827134,-1.6002931,-2.9835667,-0.70904861,-11.827514,-11.060613,-10.419939,-4.364515,-5.8343957,-2.1635292,1.9091246,-2.0405611,-4.4180513,-4.1105305,-21.200709,2.1537706,-8.6162457,9.4081227,16.158311,-3.9259023,1.4330976,6.3262071,54.666667,80.075667,0.81402681,-1.1956077,-1.7055087,-5.4143388,-0.41689288,-0.75725259,0.062776281,2.9925278,1.2820524,1.9609354,1.9683252,3.0717564,5.2353807,-1,-0.067666667,0.32254173,0.71103952,0.058925108,39.7,-0.16666667,0.33333333,-0.86666667,28.307628,20.872328,16.418574,43.613504,-9.0977625,7.2843636,7.2078599,5.5294291,5.8348107,6.2376734,5.8626838,52.833333,54.633333,55.6,43.866667,-3.1640231,-8.9871369,0.45740284,0.0089159237,0.35278695,-0.17175754,0.86941351,-0.070103281,0.22952146,-0.46784986,0.011908287,-0.56971544,-1.2846933,-1.0359758,7.9060632,-2.8370544,0.6721505,0.85015366,-2.3372963,-0.59725656,-3.6417074,-1.4361671,1.8077894,-0.90672576,2.7631341,-0.43562151,-0.46807163,-1.0267524,-1.2550533,-0.83697035,0.38477727,0.98109426,2.6280376,2.8089704,4.1931162,0.71783373,-9.3728368,-6.2162541,63.933333,-0.84443962,3.6993099,-1.4295914,1.0356583,1.4483714,4.5561927,0.41333333,0.69,0.51,0.31333333,0.14333333,0.08,0.096666667,0.15666667,0.41,0.68666667,0.35333333,-0.013333333,0.69,-6.3371302,-3.377023,-4.0012717,-3.4711068,-5.3588942,-8.038254,-0.17084198,0.15183627,1.6676902,0.33696374,-0.83045399,-1.9744137,-6.6385866,-6.6518962,0.056666667,-1.3633333,-0.76445988,0.2
1960.00,8.8002288,3.5863958,13.38339,-0.20107338,4.7337831,41.813555,13.71506,15.090732,16.306391,14.321187,11.312247,47.427764,14.747952,-8.039055,-18.547567,6.9087873,23.417984,14.069007,14.642848,15.278062,49.020225,3.0568868,18.343024,37.321164,58.523135,11.253325,25.407388,0.45900301,60.966667,84.4715,5.3511236,6.9769813,5.8506235,-6.3809927,9.6839154,15.079617,1.962016,4.0866213,3.1872679,1.5737856,4.336758,3.4211087,3.8502544,0.33333333,0.073,1.7581005,2.8827626,2.4605421,39.733333,0.16666667,-0.46666667,0.16666667,-33.761305,-49.343793,-10.182368,-3.7477752,-16.736386,7.2132773,6.9517722,5.436629,5.7546868,6.1605038,5.8240316,53.866667,56.7,35.566667,51.866667,1.9888519,-15.134313,-0.63732734,-1.2891292,-2.0503314,-1.258871,-0.88873553,-0.47352377,-2.8812499,1.3823868,1.4993689,-1.4351107,0.15973983,0.25736417,-14.139387,-0.70886015,-1.4255064,-1.3551089,-0.38042307,-0.061492085,-0.88031984,0.780694,-5.0773576,-1.9057129,-0.87230593,-0.36581358,-0.11360363,-0.70341816,1.1484474,-1.9326757,0.88758815,-3.8621966,-4.9238827,0.85431469,-0.78220509,3.0704879,-4.7429553,-0.992706,60.666667,8.3010567,7.4606202,9.3428113,10.743722,7.9865221,-0.67280987,-0.056666667,-0.35666667,-0.42333333,-0.34666667,-0.18666667,-0.096666667,-0.016666667,0.036666667,0.34333333,0.69666667,0.61333333,0.066666667,0.82333333,2.3588672,0.50049468,0.71000666,-0.69672077,-3.295769,3.8365034,-5.2920378,0.088544549,-0.061528522,0.33668011,0.072120554,0.91140167,-10.42968,-11.958124,0.18,-0.47,-12.499489,6.1
1960.25,-2.0016461,4.9003654,9.119566,4.6460862,3.8134313,-43.054909,-8.1574944,6.1293207,4.6883971,7.0339619,-34.324633,24.58411,2.5633969,3.2272436,-1.538943,9.6529293,-8.7747133,-0.76000694,0,2.1360081,-6.5789501,5.2937139,-3.7462176,-20.217057,-33.370894,-3.6903755,-10.581999,8.1726602,47.766667,81.318,0.42269836,-2.8078963,-1.0468165,3.0702637,-3.9551114,-6.6238864,-0.10412057,3.0235897,2.8886163,1.3150316,3.7282971,2.9696544,3.7977973,-2.6666667,-0.078333333,5.1678626,4.7728354,0.70859186,39.666667,-0.4,0.1,-1.0666667,36.777852,7.3100997,-25.550303,-14.750934,-37.046066,7.1459845,6.9163846,5.3644172,5.7137328,6.0958246,5.7311814,44.1,49,32,43.966667,-6.0078485,15.701159,0.7987033,1.4289311,2.0336884,0.59151277,-0.87717662,0.033946505,0.71405431,-0.47385749,-0.42492514,2.4880631,3.6960699,1.0926541,4.9367265,-1.1755243,0.6982573,-0.0026186546,-0.53308904,-0.86091125,-0.21060824,-1.9200063,6.3755974,-1.0601608,0.71843423,0.36406661,0.30881559,0.32840963,-3.8497932,3.0236821,0.33098,-0.95266973,1.3046431,-0.16149834,1.1460977,-1.9351413,5.3445472,-1.5835918,56.666667,-0.41494265,-0.16819629,-1.5816681,-8.1045918,-0.050168535,8.1721247,-0.23666667,-0.88,-0.92666667,-0.7,-0.34,-0.22666667,-0.1,-0.063333333,0.29666667,0.87666667,1.2666667,0.19333333,0.98666667,0.28336564,0.26041726,1.0975828,1.3132508,2.2432943,-1.3011663,1.4605925,2.370751,-0.70209492,0.14420477,0.44095596,9.3301112,-1.4716371,-2.7115734,0.053333333,-0.57333333,-3.1724925,-3.8333333
1960.50,0.62659108,-1.6492787,-3.1844168,-2.8047232,0.16578021,-2.4682615,-10.834048,-10.079273,0.82709004,-17.119589,-12.317979,-10.20598,-12.06745,9.5664265,12.296659,5.9151324,-6.6322215,-6.2895483,-5.2350911,-4.7448015,-15.782744,-0.60093417,-12.648593,-8.5391984,-11.509133,-5.2311136,-7.4220226,2.8367044,49.5,78.8989,-2.4322713,-5.0472106,-7.1484681,-4.0093887,-5.1036275,-6.7798233,-2.7166919,-0.37907149,-2.110697,1.1576143,-1.9432466,3.0002114,0.15746172,-2.6666667,-0.097333333,-0.22813593,-1.5066429,-2.273233,39.333333,-0.066666667,0.3,0.43333333,-4.572364,49.154243,42.144206,61.960685,19.265361,7.1005771,6.9000591,5.3327188,5.6824453,6.0378709,5.6801726,45.566667,50.6,37.033333,40.6,6.2431591,-16.491898,0.10611718,-0.62665445,-2.1713412,-2.32E-05,-1.3069527,-0.69696011,-0.97211555,-0.5047421,-0.31364401,-1.3806693,-3.938273,-0.62748901,8.2929318,0.15140672,0.23297607,0.82386316,-1.1848301,-1.4341879,-0.98023647,1.087403,-1.2061629,1.3483001,0.51329609,-0.9717954,-1.0412605,-0.80413977,0.51488104,-1.6419262,-1.4355069,2.4389646,1.878888,2.7624109,4.9435506,-0.11708601,-5.1639197,-1.5837989,49.633333,0.19499501,4.9516101,0.27799255,0.80476315,2.0455283,1.3030494,-0.76,-0.63333333,-0.58,-0.79666667,-0.62666667,-0.42666667,-0.14,-0.14333333,0.35,0.71333333,1.4733333,0.48,1.27,4.566368,3.4900202,3.8655396,2.96665,12.14919,-6.9196673,-4.3452166,-0.64174165,-1.4573877,-1.8713008,0.62639086,-0.32851963,-2.5047045,-4.9140943,0.03,-0.083333333,-6.7804649,-1.9666667
